ID,Name,Maps,Adresse,Name,Straße,PLZ,Ort,Erstellt am
1149,4,Mittelschulen,"Mittelschule am Lechrain Aindling, Bürgermeister-Huber-Straße 4, 86447 Aindling, Deutschland",4,Bürgermeister-Huber-Straße,86447,Aindling,10. Juli 2023
1150,32,Grundschulen,"Hauptstraße 32, 86447 Todtenweis, Deutschland",32,Hauptstraße,86447,Sand,10. Juli 2023
1151,,Grundschulen,"Grund- und Mittelschule Dasing, Schulstraße 5, 86453 Dasing, Deutschland",,"Grund- und Mittelschule Dasing, Schulstraße 5, 86453 Dasing, Deutschland",,,10. Juli 2023
1152,,Mittelschulen,"Grund- und Mittelschule Dasing, Schulstraße 5, 86453 Dasing, Deutschland",,"Grund- und Mittelschule Dasing, Schulstraße 5, 86453 Dasing, Deutschland",,,10. Juli 2023
1153,,Grundschulen,"Volksschule Ecknach, Pfarrer-Steinacker-Straße 60, 86551 Aichach, Deutschland",,"Volksschule Ecknach, Pfarrer-Steinacker-Straße 60, 86551 Aichach, Deutschland",,,10. Juli 2023
1154,16,Grundschulen,"Grundschule Eurasburg, Schulstraße 16, 86495 Eurasburg, Deutschland",16,Schulstraße,86495,Eurasburg,10. Juli 2023
1155,58,Grundschulen,"Am Bierweg 58, 86316 Friedberg, Deutschland",58,Am Bierweg,86316,Friedberg,10. Juli 2023
1156,7 1/2,Grundschulen,"Aichacher Straße 7/1 2, 86316 Friedberg, Deutschland",7 1/2,Aichacher Straße,86316,Friedberg,10. Juli 2023
1157,9,Grundschulen,"Schulweg 9, 86551 Aichach, Deutschland",9,Schulweg,86551,Aichach,10. Juli 2023
1176,14,Grundschulen,"Mainbacher Str. 14, 86568 Hollenbach, Deutschland",14,Mainbacher Straße,86568,Motzenhofen,14. Juli 2023
1177,14,Mittelschulen,"Mainbacher Straße 14, 86568 Hollenbach, Deutschland",14,Mainbacher Straße,86568,Motzenhofen,14. Juli 2023
